nome,categoria,cor_hex,cor_rgb
IndianRed,Vermelhos,#cd5c5c,"rgb(205,92,92)"
LightCoral,Vermelhos,#f08080,"rgb(240,128,128)"
Salmon,Vermelhos,#fa8072,"rgb(250,128,114)"
DarkSalmon,Vermelhos,#e9967a,"rgb(233,150,122)"
LightSalmon,Vermelhos,#ffa07a,"rgb(255,160,122)"
Crimson,Vermelhos,#dc143c,"rgb(220,20,60)"
Red,Vermelhos,#ff0000,"rgb(255,0,0)"
FireBrick,Vermelhos,#b22222,"rgb(178,34,34)"
DarkRed,Vermelhos,#8b0000,"rgb(139,0,0)"
Pink,Rosas,#ffc0cb,"rgb(255,192,203)"
LightPink,Rosas,#ffb6c1,"rgb(255,182,193)"
HotPink,Rosas,#ff69b4,"rgb(255,105,180)"
DeepPink,Rosas,#ff1493,"rgb(255,20,147)"
MediumVioletRed,Rosas,#c71585,"rgb(199,21,133)"
PaleVioletRed,Rosas,#db7093,"rgb(219,112,147)"
Coral,Laranjas,#ff7f50,"rgb(255,127,80)"
Tomato,Laranjas,#ff6347,"rgb(255,99,71)"
OrangeRed,Laranjas,#ff4500,"rgb(255,69,0)"
DarkOrange,Laranjas,#ff8c00,"rgb(255,140,0)"
Orange,Laranjas,#ffa500,"rgb(255,165,0)"
Gold,Amarelos,#ffd700,"rgb(255,215,0)"
Yellow,Amarelos,#ffff00,"rgb(255,255,0)"
LightYellow,Amarelos,#ffffe0,"rgb(255,255,224)"
LemonChiffon,Amarelos,#fffacd,"rgb(255,250,205)"
LightGoldenrodYellow,Amarelos,#fafad2,"rgb(250,250,210)"
PapayaWhip,Amarelos,#ffefd5,"rgb(255,239,213)"
Moccasin,Amarelos,#ffe4b5,"rgb(255,228,181)"
PeachPuff,Amarelos,#ffdab9,"rgb(255,218,185)"
PaleGoldenrod,Amarelos,#eee8aa,"rgb(238,232,170)"
Khaki,Amarelos,#f0e68c,"rgb(240,230,140)"
DarkKhaki,Amarelos,#bdb76b,"rgb(189,183,107)"
Lavender,Púrpuras,#e6e6fa,"rgb(230,230,250)"
Thistle,Púrpuras,#d8bfd8,"rgb(216,191,216)"
Plum,Púrpuras,#dda0dd,"rgb(221,160,221)"
Violet,Púrpuras,#ee82ee,"rgb(238,130,238)"
Orchid,Púrpuras,#da70d6,"rgb(218,112,214)"
Fuchsia,Púrpuras,#ff00ff,"rgb(255,0,255)"
Magenta,Púrpuras,#ff00ff,"rgb(255,0,255)"
MediumOrchid,Púrpuras,#ba55d3,"rgb(186,85,211)"
MediumPurple,Púrpuras,#9370db,"rgb(147,112,219)"
BlueViolet,Púrpuras,#8a2be2,"rgb(138,43,226)"
DarkViolet,Púrpuras,#9400d3,"rgb(148,0,211)"
DarkOrchid,Púrpuras,#9932cc,"rgb(153,50,204)"
DarkMagenta,Púrpuras,#8b008b,"rgb(139,0,139)"
Purple,Púrpuras,#800080,"rgb(128,0,128)"
RebeccaPurple,Púrpuras,#663399,"rgb(102,51,153)"
Indigo,Púrpuras,#4b0082,"rgb(75,0,130)"
MediumSlateBlue,Púrpuras,#7b68ee,"rgb(123,104,238)"
SlateBlue,Púrpuras,#6a5acd,"rgb(106,90,205)"
DarkSlateBlue,Púrpuras,#483d8b,"rgb(72,61,139)"
GreenYellow,Verdes,#adff2f,"rgb(173,255,47)"
Chartreuse,Verdes,#7fff00,"rgb(127,255,0)"
LawnGreen,Verdes,#7cfc00,"rgb(124,252,0)"
Lime,Verdes,#00ff00,"rgb(0,255,0)"
LimeGreen,Verdes,#32cd32,"rgb(50,205,50)"
PaleGreen,Verdes,#98fb98,"rgb(152,251,152)"
LightGreen,Verdes,#90ee90,"rgb(144,238,144)"
MediumSpringGreen,Verdes,#00fa9a,"rgb(0,250,154)"
SpringGreen,Verdes,#00ff7f,"rgb(0,255,127)"
MediumSeaGreen,Verdes,#3cb371,"rgb(60,179,113)"
SeaGreen,Verdes,#2e8b57,"rgb(46,139,87)"
ForestGreen,Verdes,#228b22,"rgb(34,139,34)"
Green,Verdes,#8000,"rgb(0,128,0)"
DarkGreen,Verdes,#6400,"rgb(0,100,0)"
YellowGreen,Verdes,#9acd32,"rgb(154,205,50)"
OliveDrab,Verdes,#6b8e23,"rgb(107,142,35)"
Olive,Verdes,#808000,"rgb(128,128,0)"
DarkOliveGreen,Verdes,#556b2f,"rgb(85,107,47)"
MediumAquamarine,Verdes,#66cdaa,"rgb(102,205,170)"
DarkSeaGreen,Verdes,#8fbc8f,"rgb(143,188,143)"
LightSeaGreen,Verdes,#20b2aa,"rgb(32,178,170)"
DarkCyan,Verdes,#008b8b,"rgb(0,139,139)"
Teal,Verdes,#8080,"rgb(0,128,128)"
Aqua,Azuis / Cianos,#00ffff,"rgb(0,255,255)"
